category,style,examples,mean_chars,mean_synthesis_time_s,mean_audio_duration_s,mean_rtf,mean_pitch_hz,mean_rms_db,mean_naturalness,mean_intelligibility,total_pronunciation_errors,manual_normalization_examples
content,technical,2,103.5,16.04384239547653,6.763083333333333,2.365992413208258,105.10204741130742,-25.14684035577734,5.0,5.0,0,2
language,dialogue,1,115.0,17.425626583979465,7.682375,2.268260347090511,134.1440159802743,-21.41535205886864,3.0,2.0,4,1
language,neutral,1,82.0,13.156404208973981,5.562708333333333,2.365107681475417,118.93138855309337,-23.72163807285855,3.0,2.0,4,1
length,neutral,3,258.3333333333333,29.59155809727963,13.778986111111111,2.187961290099304,140.7465757753568,-22.963390745083142,4.666666666666667,5.0,0,0
style,dialogue,1,100.0,13.144707167055458,6.3395,2.073461182594125,152.70273206460945,-24.235941187107795,5.0,5.0,0,0
style,exclamation,1,62.0,6.2391379999462515,2.915,2.1403560891753863,121.75305062137082,-22.857118210199374,5.0,5.0,0,0
style,question,1,66.0,8.931070000049658,3.5609166666666665,2.5080817205447077,106.55161790496558,-27.728414176066348,4.0,5.0,0,0
